date,rat_name,rat_ID,DOB,Sex,weight,Genotype,HL_date,invalid,file_name,experiment,phase,task,detail,stim_type,analysis_type,complete_block_count,trial_count,hit_percent,FA_percent,UUID,block_size
20250107,Orange3,747,20240717,Male,535,Fmr1_WT-Tsc2_WT,,"",BBN_30-90dB_100ms_4s,FXS x TSC,BBN,Reset,None,BBN,BBN (Standard),25,250,0.988571428571429,0.0933333333333333,20250107121122_124.18100014329_2.27968831475226,10
20250107,Orange4,748,20240717,Male,520,Fmr1_KO-Tsc2_Het,,"",BBN_30-90dB_100ms_12s,FXS x TSC,BBN,Reset,None,BBN,BBN (Standard),29,299,0.995215311004785,0.144444444444444,20250107121123_116.307003423572_1.42901279155818,10
20250107,Orange5,769,20240802,Male,572,Fmr1_WT-Tsc2_Het,,"",BBN_60dB_0-0.5s_0catch,FXS x TSC,BBN,Training,None,BBN,Training - BBN,1,10,1,,20250107131451_162.926002219319_0.363961182082879,10
20250107,Orange6,770,20240802,Male,539,Fmr1_KO-Tsc2_WT,,"",BBN_60dB_0-0.5s_0catch,FXS x TSC,BBN,Training,None,BBN,Training - BBN,2,23,0.782608695652174,,20250107131456_835.497007146478_0.100379871252969,10
20250107,Blue1,744,20240717,Male,507,Fmr1_KO-Tsc2_WT,,"",BBN_60dB_0-0.5s_0catch,FXS x TSC,BBN,Training,None,BBN,Training - BBN,2,24,0.916666666666667,,20250107142236_314.2239946872_0.137324980576107,10
20250107,Blue2,749,20240717,Male,603,Fmr1_WT-Tsc2_WT,,"",BBN_60dB_0-0.5s_0catch,FXS x TSC,BBN,Training,None,BBN,Training - BBN,3,30,0.866666666666667,,20250107142238_333.275993540883_0.420823921953055,10
20250107,Lime6,771,20240802,Male,558,Fmr1_WT-Tsc2_Het,,"",BBN_60dB_0-0.5s_0catch,FXS x TSC,BBN,Training,None,BBN,Training - BBN,3,34,0.794117647058824,,20250107142242_158.371007815003_0.419373180929658,10
20250107,Purple6,775,20240802,Male,528,Fmr1_KO-Tsc2_Het,,"",BBN_60dB_0-0.5s_0catch,FXS x TSC,BBN,Training,None,BBN,Training - BBN,2,29,0.689655172413793,,20250107142243_390.280009433627_0.161861558907406,10
20250108,Orange1,745,20240717,Male,476,Fmr1_KO-Tsc2_WT,,"",BBN_40-70dB_300ms_8s,FXS x TSC,BBN,Training,None,BBN,BBN (Standard),27,270,0.989417989417989,0.246913580246914,20250108110910_110.620995238423_2.6730229407306,10
20250108,Orange2,746,20240717,Male,425,Fmr1_WT-Tsc2_Het,,"",BBN_30-90dB_300ms_12s,FXS x TSC,BBN,Reset,None,BBN,BBN (Standard),30,302,1,0.131868131868132,20250108110911_194.759997725487_3.43608516815173,10
20250108,Lime1,772,20240802,Male,508,Fmr1_KO-Tsc2_Het,,"",BBN_60dB_0-0.5s_0catch,FXS x TSC,BBN,Training,None,BBN,Training - BBN,13,137,0.941605839416058,,20250108121051_209.84499938786_0.322419142459509,10
20250108,Lime2,774,20240802,Male,509,Fmr1_WT-Tsc2_WT,,"",BBN_60dB_0-0.5s_0catch,FXS x TSC,BBN,Training,None,BBN,Training - BBN,7,75,0.88,,20250108121051_221.340008452535_0.459538042938481,10
20250108,Orange3,747,20240717,Male,520,Fmr1_WT-Tsc2_WT,,"",BBN_30-90dB_100ms_4s,FXS x TSC,BBN,Reset,None,BBN,BBN (Standard),35,358,0.968127490039841,0.0654205607476636,20250108121048_89.5610008388758_2.61776392164057,10
20250108,Orange4,748,20240717,Male,509,Fmr1_KO-Tsc2_Het,,"",BBN_30-90dB_100ms_12s,FXS x TSC,BBN,Reset,None,BBN,BBN (Standard),40,408,0.982517482517482,0.139344262295082,20250108121049_103.347005322576_1.68330871199229,10
